subfolder,file,dims,description
pbmc3k,pbmc_scdeed_tsne_perplexity_320.rds,5858 x 2,t-SNE 2D matrix (perplexity 320) for 5858 cells. High-perplexity extreme.
pbmc3k,pbmc_scdeed_tsne_perplexity_{N}.rds,5858 x 2,"All other perplexity values for 5858-cell scDEED t-SNE embeddings: 5 10 15 20 25 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145."
pbmc3k,pbmc_scdeed_tsne_perplexity_51.rds,2622 x 2,t-SNE 2D matrix (perplexity 51) for the 2622-cell dataset (stored as scDEED format).
pbmc3k,pbmc_scdeed_umap_n_neighbors_{N}_min_dist_{D}.rds,5858 x 2 or 2622 x 2,"UMAP 2D matrices for scDEED comparison. 5858-cell versions: n_neighbors in {5 6 7 8 9 10 20 30 40 50 80 160 240} x min_dist in {0.0125 0.05 0.1 0.3 0.5 0.7 0.9}. 2622-cell versions: n_neighbors in {5 15 30} x min_dist in {0.01 0.3 0.99}."
pbmc3k,pbmc_scdeed_tsne_results.rds,29 x 2,scDEED dubious cell counts for t-SNE across 29 perplexity values (5-320). Columns: perplexity number_dubious_cells.
pbmc3k,pbmc_scdeed_tsne_results_320.rds,1 x 2,scDEED result for t-SNE perplexity 320 only (stored separately).
pbmc3k,pbmc_scdeed_umap_results.rds,91 x 3,scDEED dubious cell counts for UMAP across 91 hyperparameter combinations. Columns: n_neighbors min.dist number_dubious_cells.
pbmc3k,error_pbmc_tsne_30.rds,43 x 11,Hexbin-level goodness-of-fit error summary for t-SNE (perplexity 30) across grid sizes. Columns: Error HBE b1 b2 b m a1 a2 d_bar method n_bar.
pbmc3k,error_pbmc_tsne_5.rds,49 x 11,Same structure for t-SNE (perplexity 5).
pbmc3k,error_pbmc_umap_5_min_dist_0.8.rds,42 x 11,Error summary for UMAP (n_neighbors=5 min_dist=0.8). Primary UMAP configuration. Includes HBE and d_bar/n_bar columns.
pbmc3k,error_pbmc_umap_30_min_dist_0.3.rds,44 x 11,Error summary for UMAP (n_neighbors=30 min_dist=0.3). Second key UMAP configuration.
pbmc3k,error_pbmc_umap_5_min_dist_0.01.rds,52 x 11,Error summary for UMAP (n_neighbors=5 min_dist=0.01).
pbmc3k,error_pbmc_umap_9_min_dist_0.5.rds,45 x 11,Error summary for UMAP (n_neighbors=9 min_dist=0.5).
pbmc3k,error_pbmc_umap_15_min_dist_0.99.rds,41 x 9,Error summary for UMAP (n_neighbors=15 min_dist=0.99). Uses RMSE instead of HBE and includes a2 column.
pbmc3k,error_pbmc_umap_{n}_min_dist_{d}.rds,35-49 x 8,All remaining UMAP error summaries. Files with 8 columns use MSE instead of HBE and omit d_bar/n_bar (earlier schema variant).
pbmc3k,error_pbmc_pacmap_30_random_0.9_5.rds,53 x 11,Error summary for PaCMAP (n_neighbors=30 MN-ratio=0.9 FP-ratio=5).
pbmc3k,error_pbmc_phate_5.rds,70 x 11,Error summary for PHATE (k=5).
pbmc3k,error_pbmc_trimap_12_4_3.rds,57 x 11,Error summary for TriMAP (n_inliers=12 n_outliers=4 n_random=3).
pbmc3k,error_scdeed_pbmc_tsne_perplexity_30.rds,70 x 11,Error summary for t-SNE (perplexity 30) on the 5858-cell scDEED dataset.
pbmc3k,error_scdeed_pbmc_tsne_perplexity_320.rds,82 x 11,Error summary for t-SNE (perplexity 320) on the scDEED dataset.
pbmc3k,error_scdeed_pbmc_umap_{n}_min_dist_{d}.rds,46-80 x 8-11,"Error summaries for UMAP on the 5858-cell scDEED dataset. Configurations: n_neighbors in {5 15 30 80} min_dist in {0.01 0.1 0.3 0.5 0.99}."
pbmc3k,df_model_data_pbmc_n.rds,2841 x 10,Hexbin centroids lifted back into 9D PC space for the t-SNE (perplexity 30) model. Columns: x1-x9 type (model).
pbmc3k,df_model_data_pbmc_n_umap.rds,2693 x 10,Lifted model for the UMAP (n_neighbors=5 min_dist=0.8) embedding. Same structure.
pbmc3k,df_bin_centroids_pbmc_umap.rds,71 x 5,2D centroid positions and point counts for non-empty hexbins in the UMAP embedding. Columns: h c_x c_y n_h w_h.
pbmc3k,hex_grid_nonempty.rds,426 x 3,Hexagon vertex coordinates for all non-empty hexbins in the UMAP embedding. Columns: h x y.
pbmc3k,hex_grid_with_counts.rds,3696 x 5,Full hexbin grid including counts (n_h) and weights (w_h); most bins have NA (empty).
pbmc3k,pbmc_tsne_proj_obj1.rds,list(5),Grand tour projection (view 1) for the lifted t-SNE (perplexity 30) model. Contains projected data (2622 obs) model hexbin edges (532) 3-axis basis unit circle and Seurat cluster labels.
pbmc3k,pbmc_tsne_proj_obj2.rds,list(5),Alternative grand tour view for the t-SNE model (same structure different tour basis).
pbmc3k,pbmc_umap_proj_obj1.rds,list(5),Grand tour projection (view 1) for the lifted UMAP model. Smaller model (144 hexbin edges) reflecting a tighter embedding.
pbmc3k,pbmc_umap_proj_obj2.rds,list(5),Alternative grand tour view for the UMAP model.
pbmc3k,nldr_eval_metrics.rds,8 x 6,Standard NLDR evaluation metrics for 8 selected PBMC configurations. Columns: Method GS RTA AUC(R_NX) r RGS.
pbmc3k,nldr_eval_metrics_scdeed.rds,2 x 6,Same metric structure for 2 methods (UMAP_30_min_dist_0.3 and tsne_perplexity_30) on the scDEED dataset. Used for direct comparison with scDEED results.
